USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
450.00,1.3395,0.9618,0.4796,0.5661,0.6815,0.7309,0.7144,0.7254,0.4162,0.7639,0.8504,0.9713,1.0002,0.6760,0.6155,0.4177,0.7914,0.7804,0.5851,0.5756
451.00,1.3465,0.9618,0.4782,0.5715,0.6815,0.7310,0.7145,0.7309,0.4177,0.7585,0.8465,0.9782,1.0057,0.6760,0.6156,0.4177,0.7914,0.7804,0.5881,0.5825
452.00,1.3457,0.9566,0.4783,0.5705,0.6817,0.7299,0.7202,0.7354,0.4165,0.7587,0.8467,0.9773,1.0158,0.6804,0.6200,0.4123,0.7904,0.7794,0.5870,0.5870
453.00,1.3464,0.9555,0.4818,0.5699,0.6856,0.7296,0.7214,0.7351,0.4130,0.7627,0.8508,0.9775,1.0187,0.6801,0.6168,0.4157,0.7902,0.7792,0.5865,0.5811
454.00,1.3448,0.9606,0.4845,0.5685,0.6923,0.7363,0.7212,0.7378,0.4170,0.7694,0.8575,0.9841,1.0240,0.6868,0.6207,0.4225,0.7969,0.7859,0.5891,0.5822
455.00,1.3557,0.9644,0.4905,0.5731,0.6999,0.7440,0.7274,0.7440,0.4243,0.7770,0.8652,0.9920,1.0360,0.6944,0.6228,0.4298,0.8046,0.7936,0.5952,0.5897
456.00,1.3550,0.9685,0.4842,0.5778,0.6947,0.7429,0.7319,0.7429,0.4237,0.7759,0.8639,0.9973,1.0359,0.6988,0.6273,0.4237,0.8034,0.7910,0.5998,0.5956
457.00,1.3588,0.9655,0.4786,0.5749,0.6932,0.7399,0.7289,0.7427,0.4209,0.7729,0.8610,1.0012,1.0425,0.6959,0.6271,0.4209,0.7977,0.7867,0.5996,0.5969
458.00,1.3600,0.9606,0.4803,0.5791,0.6944,0.7397,0.7328,0.7452,0.4172,0.7726,0.8645,1.0032,1.0512,0.6958,0.6258,0.4213,0.7987,0.7850,0.5983,0.5970
459.00,1.3621,0.9573,0.4869,0.5744,0.6947,0.7440,0.7330,0.7494,0.4212,0.7768,0.8698,1.0066,1.0613,0.7002,0.6236,0.4267,0.8042,0.7932,0.5963,0.5963
460.00,1.3573,0.9641,0.4861,0.5749,0.7005,0.7497,0.7333,0.7483,0.4179,0.7824,0.8712,1.0078,1.0624,0.7019,0.6281,0.4288,0.8043,0.7947,0.5981,0.5967
461.00,1.3637,0.9698,0.4835,0.5786,0.7036,0.7498,0.7362,0.7471,0.4238,0.7851,0.8775,1.0160,1.0676,0.7118,0.6275,0.4319,0.8068,0.8014,0.6031,0.5976
462.00,1.3686,0.9692,0.4819,0.5794,0.7039,0.7472,0.7323,0.7513,0.4223,0.7851,0.8772,1.0220,1.0708,0.7147,0.6281,0.4278,0.8068,0.7973,0.6092,0.6038
463.00,1.3656,0.9623,0.4731,0.5806,0.6989,0.7473,0.7312,0.7526,0.4193,0.7795,0.8709,1.0215,1.0806,0.7043,0.6290,0.4247,0.8010,0.7956,0.6075,0.6021
464.00,1.3709,0.9594,0.4784,0.5746,0.6975,0.7456,0.7349,0.7510,0.4129,0.7777,0.8753,1.0235,1.0798,0.7068,0.6267,0.4196,0.7991,0.7898,0.6053,0.6000
465.00,1.3712,0.9636,0.4844,0.5770,0.7042,0.7518,0.7385,0.7544,0.4183,0.7836,0.8842,1.0271,1.0906,0.7122,0.6274,0.4262,0.8048,0.7995,0.6062,0.6009
466.00,1.3741,0.9667,0.4860,0.5790,0.7100,0.7572,0.7415,0.7572,0.4231,0.7886,0.8881,1.0336,1.0925,0.7245,0.6274,0.4324,0.8096,0.8043,0.6105,0.6052
467.00,1.3717,0.9664,0.4780,0.5767,0.7066,0.7533,0.7377,0.7533,0.4209,0.7846,0.8885,1.0340,1.0963,0.7171,0.6286,0.4312,0.8105,0.8001,0.6079,0.6027
468.00,1.3786,0.9660,0.4779,0.5766,0.7047,0.7508,0.7368,0.7522,0.4215,0.7853,0.8891,1.0405,1.1019,0.7252,0.6278,0.4280,0.8058,0.8007,0.6111,0.6036
469.00,1.3809,0.9636,0.4780,0.5792,0.7030,0.7485,0.7384,0.7562,0.4198,0.7815,0.8877,1.0445,1.1078,0.7233,0.6272,0.4273,0.8017,0.7967,0.6096,0.6069
470.00,1.3798,0.9550,0.4769,0.5727,0.7037,0.7485,0.7386,0.7546,0.4133,0.7795,0.8880,1.0385,1.1071,0.7159,0.6252,0.4260,0.7995,0.7945,0.6064,0.6014
471.00,1.3802,0.9578,0.4764,0.5746,0.7073,0.7515,0.7416,0.7564,0.4126,0.7859,0.8940,1.0462,1.1149,0.7172,0.6237,0.4273,0.8007,0.8006,0.6042,0.5994
472.00,1.3803,0.9593,0.4755,0.5720,0.7071,0.7518,0.7373,0.7553,0.4127,0.7856,0.8965,1.0461,1.1150,0.7228,0.6202,0.4259,0.8035,0.8014,0.6057,0.6044
