USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
482.00,0.2541,0.8541,0.4469,0.4438,0.6684,0.2779,0.4080,0.1905,0.2969,0.3596,0.3326,0.5065,0.4009,0.4041,0.3477,0.3287,0.6724,0.2421,0.2294,0.4001
483.00,0.2577,0.8600,0.4495,0.4456,0.6724,0.2776,0.4105,0.1915,0.2930,0.3636,0.3322,0.5122,0.3986,0.4027,0.3441,0.3322,0.6802,0.2424,0.2309,0.4027
484.00,0.2534,0.8721,0.4541,0.4514,0.6818,0.2802,0.4157,0.1919,0.2929,0.3697,0.3351,0.5217,0.3993,0.4081,0.3493,0.3351,0.6894,0.2468,0.2369,0.4081
485.00,0.2533,0.8786,0.4575,0.4554,0.6881,0.2797,0.4156,0.1929,0.2948,0.3703,0.3343,0.5251,0.3988,0.4060,0.3477,0.3363,0.6916,0.2495,0.2323,0.4081
486.00,0.2524,0.8840,0.4595,0.4587,0.6985,0.2843,0.4179,0.1960,0.2932,0.3734,0.3333,0.5255,0.4001,0.4038,0.3481,0.3370,0.6955,0.2487,0.2301,0.4075
487.00,0.2519,0.8873,0.4638,0.4636,0.7048,0.2849,0.4233,0.1972,0.2920,0.3761,0.3360,0.5258,0.4014,0.4016,0.3504,0.3325,0.7011,0.2482,0.2335,0.4051
488.00,0.2528,0.8935,0.4688,0.4641,0.7109,0.2865,0.4222,0.1980,0.2912,0.3793,0.3388,0.5297,0.3986,0.4022,0.3495,0.3388,0.7062,0.2482,0.2324,0.4043
489.00,0.2534,0.9000,0.4719,0.4668,0.7186,0.2854,0.4262,0.1990,0.2885,0.3859,0.3378,0.5356,0.3961,0.4015,0.3523,0.3417,0.7135,0.2483,0.2377,0.4105
490.00,0.2545,0.9089,0.4780,0.4717,0.7263,0.2891,0.4302,0.2027,0.2919,0.3922,0.3375,0.5437,0.3963,0.4032,0.3520,0.3444,0.7228,0.2511,0.2379,0.4136
491.00,0.2544,0.9170,0.4788,0.4756,0.7336,0.2888,0.4281,0.2038,0.2888,0.3939,0.3395,0.5466,0.3971,0.4073,0.3530,0.3431,0.7268,0.2544,0.2377,0.4109
492.00,0.2519,0.9211,0.4794,0.4794,0.7390,0.2908,0.4317,0.2052,0.2908,0.3961,0.3385,0.5470,0.3961,0.4041,0.3518,0.3441,0.7302,0.2519,0.2375,0.4107
493.00,0.2551,0.9252,0.4859,0.4840,0.7489,0.2928,0.4350,0.2075,0.2910,0.4006,0.3418,0.5508,0.3969,0.4020,0.3549,0.3451,0.7358,0.2532,0.2387,0.4104
494.00,0.2556,0.9314,0.4939,0.4907,0.7559,0.2966,0.4401,0.2101,0.2908,0.4075,0.3446,0.5574,0.3959,0.4049,0.3574,0.3504,0.7431,0.2550,0.2422,0.4145
495.00,0.2577,0.9402,0.4969,0.4938,0.7642,0.2985,0.4433,0.2108,0.2893,0.4119,0.3460,0.5631,0.3960,0.4057,0.3615,0.3552,0.7546,0.2549,0.2453,0.4182
496.00,0.2564,0.9484,0.5014,0.4993,0.7720,0.2973,0.4450,0.2143,0.2902,0.4162,0.3496,0.5691,0.3958,0.4081,0.3610,0.3558,0.7587,0.2594,0.2471,0.4204
497.00,0.2567,0.9558,0.5044,0.5027,0.7809,0.3006,0.4471,0.2158,0.2916,0.4213,0.3502,0.5724,0.3971,0.4075,0.3609,0.3562,0.7641,0.2614,0.2477,0.4213
498.00,0.2562,0.9589,0.5109,0.5079,0.7878,0.3029,0.4524,0.2198,0.2916,0.4234,0.3501,0.5763,0.3974,0.4086,0.3619,0.3585,0.7701,0.2621,0.2474,0.4210
499.00,0.2578,0.9645,0.5127,0.5125,0.7966,0.3041,0.4547,0.2200,0.2894,0.4260,0.3504,0.5766,0.3964,0.4053,0.3648,0.3564,0.7735,0.2605,0.2463,0.4198
500.00,0.2595,0.9708,0.5179,0.5142,0.8028,0.3047,0.4575,0.2207,0.2878,0.4321,0.3519,0.5830,0.3943,0.4057,0.3651,0.3604,0.7811,0.2604,0.2500,0.4207
501.00,0.2610,0.9785,0.5247,0.5191,0.8122,0.3069,0.4621,0.2249,0.2871,0.4388,0.3552,0.5916,0.3952,0.4078,0.3679,0.3651,0.7928,0.2653,0.2554,0.4261
502.00,0.2621,0.9855,0.5291,0.5237,0.8206,0.3104,0.4668,0.2268,0.2887,0.4451,0.3588,0.5969,0.3967,0.4125,0.3701,0.3674,0.7994,0.2675,0.2567,0.4315
503.00,0.2605,0.9936,0.5315,0.5288,0.8294,0.3111,0.4652,0.2287,0.2919,0.4491,0.3611,0.6004,0.3985,0.4117,0.3717,0.3693,0.8053,0.2685,0.2577,0.4303
504.00,0.2639,0.9992,0.5372,0.5338,0.8400,0.3166,0.4715,0.2327,0.2907,0.4533,0.3616,0.6039,0.3997,0.4127,0.3720,0.3703,0.8132,0.2717,0.2587,0.4317
505.00,0.2630,1.0030,0.5431,0.5365,0.8471,0.3178,0.4756,0.2340,0.2894,0.4563,0.3635,0.6066,0.3990,0.4102,0.3751,0.3700,0.8177,0.2706,0.2579,0.4320
506.00,0.2668,1.0099,0.5493,0.5418,0.8562,0.3194,0.4801,0.2374,0.2875,0.4644,0.3662,0.6135,0.3989,0.4109,0.3765,0.3757,0.8264,0.2721,0.2639,0.4353
507.00,0.2676,1.0152,0.5526,0.5429,0.8642,0.3210,0.4820,0.2362,0.2873,0.4696,0.3674,0.6184,0.3966,0.4140,0.3773,0.3798,0.8350,0.2751,0.2632,0.4383
508.00,0.2686,1.0259,0.5585,0.5498,0.8738,0.3224,0.4864,0.2409,0.2899,0.4738,0.3700,0.6258,0.3985,0.4191,0.3811,0.3834,0.8437,0.2789,0.2686,0.4428
